"id","symbol","name","unit","m_indicate_auto","l_indicate_auto","t_indicate_auto","i_indicate_auto","lt_id","gk_id","system_type_id"
98,"j<sup>2</sup>","(Плотность тока)<sup>2</sup>","A<sup>2</sup>/м<sup>4</sup>","0","-4","0","2",245,8,1
99,"A<sup>2</sup>","(Векторный потенциал)<sup>2</sup>","Н<sup>2</sup>/A<sup>2</sup>","2","2","-4","-2",245,13,1
100,"S","Вектор Умова - Пойнтинга","Вт/м<sup>2</sup>","1","0","-3","0",246,2,1
101,"φ<sup>2</sup>","(Электр. потенциал)<sup>2</sup>","В<sup>2</sup>","2","4","-6","-2",247,13,1
102,"V<sup>-1</sup>","Объём<sup>-1</sup>","м<sup>-3</sup>","0","-3","0","0",260,1,1
103,"grad R","Градиент эл. сопротивл.","","1","1","-3","-2",261,14,1
104,"ξ/r","Вихрение кривизны","","0","-2","-1","0",261,1,1
105,"rot B","Ротор В","","1","-1","-2","-1",262,9,1
106,"grad ρ<sub>m</sub>","Градиент пл. массы","","1","-4","0","0",262,2,1
107,"∂ξ/∂t","Изменение вихря","с/м<sup>2</sup>","0","-1","-2","0",262,1,1
108,"C<sup>-1</sup>","Емкость<sup>-1</sup>","Ф<sup>-1</sup>","1","2","-4","-2",262,14,1
109,"dB/dt; dE/dl","Изменение В","","1","0","-3","-1",263,9,1
110,"grad p","Градиент давления","Н/м<sup>3</sup>","1","-2","-2","0",264,2,1
111,"d<sup>2</sup>A/dt<sup>2</sup>","dE/dt","","1","1","-4","-1",264,9,1
112,"N/V","Удельная мощность","Вт/м<sup>3</sup>","1","-1","-3","0",265,2,1
113,"d<sup>2</sup>B/dl<sup>2</sup>","","Вб/м<sup>2</sup>","1","-2","-2","-1",281,9,1
114,"ξ<sup>2</sup>","Вихрь<sup>2</sup>","(м*с)<sup>-2</sup>","0","-2","-2","0",281,1,1
115,"d<sup>2</sup>E/dl<sup>2</sup>","","В/м<sup>3</sup>","1","-1","-3","-1",282,9,1
116,"B<sup>2</sup>","(Магн. индукция)<sup>2</sup>","Вб<sup>2</sup>","2","0","-4","-2",283,13,1
117,"d<sup>2</sup>B/dt<sup>2</sup>","","Вб/с<sup>2</sup>","1","0","-4","-1",283,9,1
118,"ρ<sub>m</sub><sup><sub>2</sub></sup>","(Плотность массы)<sup>2</sup>","кг<sup>2</sup>/м<sup>6</sup>","2","-6","0","0",283,4,1
119,"d<sup>2</sup>E/dt<sup>2</sup>","","В/м*с<sup>2</sup>","1","1","-5","-1",284,9,1
120,"Е<sup>2</sup>","(Напряженн. электр. поля)<sup>2</sup>","В<sup>2</sup>/м<sup>2</sup>","2","2","-6","-2",285,13,1
121,"1","Безразмерная постоянная","","0","0","0","0",203,15,2
